train_noise,depth,mlp_ratio,embed_dim,num_heads,params,epochs,test_noise,accuracy
0.35,12,3.5,192,3,4919242,30,0.0,46.46
0.4,12,3.5,192,3,4919242,30,0.0,43.56
0.0,12,4.0,192,3,5362762,30,0.0,73.11
0.05,12,4.0,192,3,5362762,30,0.0,74.07
0.1,12,4.0,192,3,5362762,30,0.0,66.34
0.15,12,4.0,192,3,5362762,30,0.0,56.86
0.2,12,4.0,192,3,5362762,30,0.0,53.16
0.25,12,4.0,192,3,5362762,30,0.0,51.74
0.3,12,4.0,192,3,5362762,30,0.0,48.77
0.35,12,4.0,192,3,5362762,30,0.0,36.17
0.4,12,4.0,192,3,5362762,30,0.0,44.16
0.0,12,4.5,192,3,5806282,30,0.0,70.49
0.05,12,4.5,192,3,5806282,30,0.0,61.94
0.1,12,4.5,192,3,5806282,30,0.0,65.11
0.15,12,4.5,192,3,5806282,30,0.0,60.27
0.2,12,4.5,192,3,5806282,30,0.0,56.39
0.25,12,4.5,192,3,5806282,30,0.0,50.26
0.3,12,4.5,192,3,5806282,30,0.0,46.44
0.35,12,4.5,192,3,5806282,30,0.0,48.86
0.4,12,4.5,192,3,5806282,30,0.0,46.27
0.0,12,5.0,192,3,6249802,30,0.0,70.54
0.05,12,5.0,192,3,6249802,30,0.0,69.76
0.1,12,5.0,192,3,6249802,30,0.0,62.81
0.15,12,5.0,192,3,6249802,30,0.0,58.07
0.2,12,5.0,192,3,6249802,30,0.0,50.57
0.25,12,5.0,192,3,6249802,30,0.0,51.6
0.3,12,5.0,192,3,6249802,30,0.0,48.52
0.35,12,5.0,192,3,6249802,30,0.0,46.66
0.4,12,5.0,192,3,6249802,30,0.0,42.53
0.0,12,5.5,192,3,6693322,30,0.0,77.86
0.05,12,5.5,192,3,6693322,30,0.0,70.22
0.1,12,5.5,192,3,6693322,30,0.0,64.0
0.15,12,5.5,192,3,6693322,30,0.0,57.86
0.2,12,5.5,192,3,6693322,30,0.0,53.26
0.25,12,5.5,192,3,6693322,30,0.0,46.06
0.3,12,5.5,192,3,6693322,30,0.0,48.11
0.35,12,5.5,192,3,6693322,30,0.0,45.66
0.4,12,5.5,192,3,6693322,30,0.0,43.97
0.0,12,6.0,192,3,7136842,30,0.0,74.09
0.05,12,6.0,192,3,7136842,30,0.0,62.21
0.1,12,6.0,192,3,7136842,30,0.0,64.43
0.15,12,6.0,192,3,7136842,30,0.0,49.23
0.2,12,6.0,192,3,7136842,30,0.0,52.68
0.25,12,6.0,192,3,7136842,30,0.0,50.41
0.3,12,6.0,192,3,7136842,30,0.0,51.26
0.35,12,6.0,192,3,7136842,30,0.0,46.45
0.4,12,6.0,192,3,7136842,30,0.0,47.57
0.0,14,0.5,192,3,2630410,30,0.0,73.01
0.05,14,0.5,192,3,2630410,30,0.0,72.04
0.1,14,0.5,192,3,2630410,30,0.0,66.3
0.15,14,0.5,192,3,2630410,30,0.0,62.89
0.2,14,0.5,192,3,2630410,30,0.0,57.4
0.25,14,0.5,192,3,2630410,30,0.0,54.45
0.3,14,0.5,192,3,2630410,30,0.0,53.34
0.35,14,0.5,192,3,2630410,30,0.0,54.58
0.4,14,0.5,192,3,2630410,30,0.0,48.1
0.0,14,1.0,192,3,3147850,30,0.0,76.1
0.05,14,1.0,192,3,3147850,30,0.0,69.78
0.1,14,1.0,192,3,3147850,30,0.0,69.08
0.15,14,1.0,192,3,3147850,30,0.0,63.1
0.2,14,1.0,192,3,3147850,30,0.0,57.45
0.25,14,1.0,192,3,3147850,30,0.0,55.33
0.3,14,1.0,192,3,3147850,30,0.0,54.25
0.35,14,1.0,192,3,3147850,30,0.0,51.93
0.4,14,1.0,192,3,3147850,30,0.0,47.92
0.0,14,1.5,192,3,3665290,30,0.0,77.72
0.05,14,1.5,192,3,3665290,30,0.0,73.74
0.1,14,1.5,192,3,3665290,30,0.0,68.85
0.15,14,1.5,192,3,3665290,30,0.0,61.43
0.2,14,1.5,192,3,3665290,30,0.0,55.97
0.25,14,1.5,192,3,3665290,30,0.0,55.53
0.3,14,1.5,192,3,3665290,30,0.0,54.01
0.35,14,1.5,192,3,3665290,30,0.0,50.48
0.4,14,1.5,192,3,3665290,30,0.0,45.96
0.0,14,2.0,192,3,4182730,30,0.0,76.52
0.05,14,2.0,192,3,4182730,30,0.0,72.56
0.1,14,2.0,192,3,4182730,30,0.0,65.61
0.15,14,2.0,192,3,4182730,30,0.0,59.4
0.2,14,2.0,192,3,4182730,30,0.0,56.47
0.25,14,2.0,192,3,4182730,30,0.0,50.8
0.3,14,2.0,192,3,4182730,30,0.0,46.2
0.35,14,2.0,192,3,4182730,30,0.0,51.49
0.4,14,2.0,192,3,4182730,30,0.0,48.63
0.0,14,2.5,192,3,4700170,30,0.0,78.76
0.05,14,2.5,192,3,4700170,30,0.0,70.67
0.1,14,2.5,192,3,4700170,30,0.0,65.04
0.15,14,2.5,192,3,4700170,30,0.0,60.6
0.2,14,2.5,192,3,4700170,30,0.0,54.43
0.25,14,2.5,192,3,4700170,30,0.0,51.9
0.3,14,2.5,192,3,4700170,30,0.0,52.1
0.35,14,2.5,192,3,4700170,30,0.0,48.68
0.4,14,2.5,192,3,4700170,30,0.0,47.55
0.0,14,3.0,192,3,5217610,30,0.0,66.85
0.05,14,3.0,192,3,5217610,30,0.0,63.25
0.1,14,3.0,192,3,5217610,30,0.0,64.45
0.15,14,3.0,192,3,5217610,30,0.0,57.83
0.2,14,3.0,192,3,5217610,30,0.0,55.43
0.25,14,3.0,192,3,5217610,30,0.0,50.22
0.3,14,3.0,192,3,5217610,30,0.0,50.95
0.35,14,3.0,192,3,5217610,30,0.0,48.91
0.4,14,3.0,192,3,5217610,30,0.0,47.08
0.0,14,3.5,192,3,5735050,30,0.0,77.26
0.05,14,3.5,192,3,5735050,30,0.0,73.98
0.1,14,3.5,192,3,5735050,30,0.0,66.96
0.15,14,3.5,192,3,5735050,30,0.0,57.9
0.2,14,3.5,192,3,5735050,30,0.0,53.03
0.25,14,3.5,192,3,5735050,30,0.0,47.1
0.3,14,3.5,192,3,5735050,30,0.0,46.35
0.35,14,3.5,192,3,5735050,30,0.0,47.17
0.4,14,3.5,192,3,5735050,30,0.0,47.65
0.0,14,4.0,192,3,6252490,30,0.0,77.8
0.05,14,4.0,192,3,6252490,30,0.0,72.25
0.1,14,4.0,192,3,6252490,30,0.0,62.6
0.15,14,4.0,192,3,6252490,30,0.0,59.04
0.2,14,4.0,192,3,6252490,30,0.0,55.63
0.25,14,4.0,192,3,6252490,30,0.0,50.06
0.3,14,4.0,192,3,6252490,30,0.0,47.46
0.35,14,4.0,192,3,6252490,30,0.0,44.77
0.4,14,4.0,192,3,6252490,30,0.0,44.89
0.0,14,4.5,192,3,6769930,30,0.0,76.35
0.05,14,4.5,192,3,6769930,30,0.0,67.13
0.1,14,4.5,192,3,6769930,30,0.0,65.82
0.15,14,4.5,192,3,6769930,30,0.0,57.65
0.2,14,4.5,192,3,6769930,30,0.0,53.8
0.25,14,4.5,192,3,6769930,30,0.0,49.32
0.3,14,4.5,192,3,6769930,30,0.0,47.37
0.35,14,4.5,192,3,6769930,30,0.0,48.22
0.4,14,4.5,192,3,6769930,30,0.0,41.78
0.0,14,5.0,192,3,7287370,30,0.0,79.27
0.05,14,5.0,192,3,7287370,30,0.0,75.32
0.1,14,5.0,192,3,7287370,30,0.0,66.05
0.15,14,5.0,192,3,7287370,30,0.0,55.68
0.2,14,5.0,192,3,7287370,30,0.0,52.84
0.25,14,5.0,192,3,7287370,30,0.0,51.81
0.3,14,5.0,192,3,7287370,30,0.0,46.16
0.35,14,5.0,192,3,7287370,30,0.0,44.04
0.4,14,5.0,192,3,7287370,30,0.0,37.51
0.0,14,5.5,192,3,7804810,30,0.0,67.93
0.05,14,5.5,192,3,7804810,30,0.0,70.8
0.1,14,5.5,192,3,7804810,30,0.0,65.45
0.15,14,5.5,192,3,7804810,30,0.0,57.11
0.2,14,5.5,192,3,7804810,30,0.0,48.7
0.25,14,5.5,192,3,7804810,30,0.0,46.67
0.3,14,5.5,192,3,7804810,30,0.0,48.49
0.35,14,5.5,192,3,7804810,30,0.0,47.9
0.4,14,5.5,192,3,7804810,30,0.0,47.17
0.0,14,6.0,192,3,8322250,30,0.0,65.77
0.05,14,6.0,192,3,8322250,30,0.0,72.01
0.1,14,6.0,192,3,8322250,30,0.0,57.88
0.15,14,6.0,192,3,8322250,30,0.0,54.71
0.2,14,6.0,192,3,8322250,30,0.0,53.17
0.25,14,6.0,192,3,8322250,30,0.0,50.63
0.3,14,6.0,192,3,8322250,30,0.0,52.01
0.35,14,6.0,192,3,8322250,30,0.0,48.48
0.4,14,6.0,192,3,8322250,30,0.0,46.23
0.0,16,0.5,192,3,3002698,30,0.0,74.44
0.05,16,0.5,192,3,3002698,30,0.0,71.55
0.1,16,0.5,192,3,3002698,30,0.0,66.69
0.15,16,0.5,192,3,3002698,30,0.0,62.09
0.2,16,0.5,192,3,3002698,30,0.0,57.51
0.25,16,0.5,192,3,3002698,30,0.0,57.42
0.3,16,0.5,192,3,3002698,30,0.0,53.87
0.35,16,0.5,192,3,3002698,30,0.0,53.07
0.4,16,0.5,192,3,3002698,30,0.0,46.05
0.0,16,1.0,192,3,3594058,30,0.0,78.13
0.05,16,1.0,192,3,3594058,30,0.0,72.52
0.1,16,1.0,192,3,3594058,30,0.0,64.83
0.15,16,1.0,192,3,3594058,30,0.0,61.33
0.2,16,1.0,192,3,3594058,30,0.0,56.65
0.25,16,1.0,192,3,3594058,30,0.0,55.24
0.3,16,1.0,192,3,3594058,30,0.0,52.65
0.35,16,1.0,192,3,3594058,30,0.0,49.25
0.4,16,1.0,192,3,3594058,30,0.0,49.99
0.0,16,1.5,192,3,4185418,30,0.0,75.71
0.05,16,1.5,192,3,4185418,30,0.0,73.4
0.1,16,1.5,192,3,4185418,30,0.0,66.04
0.15,16,1.5,192,3,4185418,30,0.0,60.87
0.2,16,1.5,192,3,4185418,30,0.0,56.35
0.25,16,1.5,192,3,4185418,30,0.0,55.42
0.3,16,1.5,192,3,4185418,30,0.0,51.3
0.35,16,1.5,192,3,4185418,30,0.0,50.82
0.4,16,1.5,192,3,4185418,30,0.0,47.66
0.0,16,2.0,192,3,4776778,30,0.0,72.37
0.05,16,2.0,192,3,4776778,30,0.0,72.76
0.1,16,2.0,192,3,4776778,30,0.0,66.14
0.15,16,2.0,192,3,4776778,30,0.0,60.5
0.2,16,2.0,192,3,4776778,30,0.0,55.49
0.25,16,2.0,192,3,4776778,30,0.0,50.86
0.3,16,2.0,192,3,4776778,30,0.0,51.1
0.35,16,2.0,192,3,4776778,30,0.0,49.73
0.4,16,2.0,192,3,4776778,30,0.0,46.69
0.0,16,2.5,192,3,5368138,30,0.0,76.58
0.05,16,2.5,192,3,5368138,30,0.0,74.97
0.1,16,2.5,192,3,5368138,30,0.0,65.8
0.15,16,2.5,192,3,5368138,30,0.0,59.28
0.2,16,2.5,192,3,5368138,30,0.0,53.92
0.25,16,2.5,192,3,5368138,30,0.0,53.74
0.3,16,2.5,192,3,5368138,30,0.0,51.02
0.35,16,2.5,192,3,5368138,30,0.0,45.54
0.4,16,2.5,192,3,5368138,30,0.0,48.02
0.0,16,3.0,192,3,5959498,30,0.0,78.77
0.05,16,3.0,192,3,5959498,30,0.0,73.89
0.1,16,3.0,192,3,5959498,30,0.0,64.98
0.15,16,3.0,192,3,5959498,30,0.0,58.62
0.2,16,3.0,192,3,5959498,30,0.0,53.97
0.25,16,3.0,192,3,5959498,30,0.0,48.61
0.3,16,3.0,192,3,5959498,30,0.0,44.75
0.35,16,3.0,192,3,5959498,30,0.0,47.64
0.4,16,3.0,192,3,5959498,30,0.0,46.05
0.0,16,3.5,192,3,6550858,30,0.0,69.61
0.05,16,3.5,192,3,6550858,30,0.0,65.3
0.1,16,3.5,192,3,6550858,30,0.0,66.22
0.15,16,3.5,192,3,6550858,30,0.0,58.61
0.2,16,3.5,192,3,6550858,30,0.0,52.64
0.25,16,3.5,192,3,6550858,30,0.0,46.72
0.3,16,3.5,192,3,6550858,30,0.0,48.39
0.35,16,3.5,192,3,6550858,30,0.0,48.94
0.4,16,3.5,192,3,6550858,30,0.0,41.85
0.0,16,4.0,192,3,7142218,30,0.0,71.25
0.05,16,4.0,192,3,7142218,30,0.0,71.53
0.1,16,4.0,192,3,7142218,30,0.0,58.24
0.15,16,4.0,192,3,7142218,30,0.0,58.03
0.2,16,4.0,192,3,7142218,30,0.0,52.26
0.25,16,4.0,192,3,7142218,30,0.0,49.01
0.3,16,4.0,192,3,7142218,30,0.0,49.09
0.35,16,4.0,192,3,7142218,30,0.0,44.47
0.4,16,4.0,192,3,7142218,30,0.0,45.16
0.0,16,4.5,192,3,7733578,30,0.0,66.53
0.05,16,4.5,192,3,7733578,30,0.0,61.13
0.1,16,4.5,192,3,7733578,30,0.0,64.56
0.15,16,4.5,192,3,7733578,30,0.0,56.04
0.2,16,4.5,192,3,7733578,30,0.0,51.12
0.25,16,4.5,192,3,7733578,30,0.0,51.59
0.3,16,4.5,192,3,7733578,30,0.0,51.25
0.35,16,4.5,192,3,7733578,30,0.0,46.31
0.4,16,4.5,192,3,7733578,30,0.0,42.55
0.0,16,5.0,192,3,8324938,30,0.0,75.67
0.05,16,5.0,192,3,8324938,30,0.0,66.17
0.1,16,5.0,192,3,8324938,30,0.0,61.24
0.15,16,5.0,192,3,8324938,30,0.0,57.6
0.2,16,5.0,192,3,8324938,30,0.0,53.36
0.25,16,5.0,192,3,8324938,30,0.0,52.98
0.3,16,5.0,192,3,8324938,30,0.0,45.93
0.35,16,5.0,192,3,8324938,30,0.0,48.19
0.4,16,5.0,192,3,8324938,30,0.0,46.25
0.0,16,5.5,192,3,8916298,30,0.0,68.79
0.05,16,5.5,192,3,8916298,30,0.0,63.17
0.1,16,5.5,192,3,8916298,30,0.0,60.38
0.15,16,5.5,192,3,8916298,30,0.0,56.76
0.2,16,5.5,192,3,8916298,30,0.0,51.29
0.25,16,5.5,192,3,8916298,30,0.0,51.54
0.3,16,5.5,192,3,8916298,30,0.0,43.39
0.35,16,5.5,192,3,8916298,30,0.0,38.57
0.4,16,5.5,192,3,8916298,30,0.0,43.9
0.0,16,6.0,192,3,9507658,30,0.0,69.64
0.05,16,6.0,192,3,9507658,30,0.0,64.17
0.1,16,6.0,192,3,9507658,30,0.0,61.26
0.15,16,6.0,192,3,9507658,30,0.0,57.33
0.2,16,6.0,192,3,9507658,30,0.0,48.16
0.25,16,6.0,192,3,9507658,30,0.0,50.4
0.3,16,6.0,192,3,9507658,30,0.0,46.58
0.35,16,6.0,192,3,9507658,30,0.0,48.12
0.4,16,6.0,192,3,9507658,30,0.0,45.16
0.0,2,0.5,192,3,396682,30,0.0,67.28
0.05,2,0.5,192,3,396682,30,0.0,65.81
0.1,2,0.5,192,3,396682,30,0.0,57.81
0.15,2,0.5,192,3,396682,30,0.0,49.48
0.2,2,0.5,192,3,396682,30,0.0,49.43
0.25,2,0.5,192,3,396682,30,0.0,44.27
0.3,2,0.5,192,3,396682,30,0.0,42.06
0.35,2,0.5,192,3,396682,30,0.0,44.09
0.4,2,0.5,192,3,396682,30,0.0,44.1
0.45,2,0.5,192,3,396682,30,0.0,44.87
0.0,2,1.0,192,3,470602,30,0.0,68.97
0.05,2,1.0,192,3,470602,30,0.0,67.41
0.1,2,1.0,192,3,470602,30,0.0,57.94
0.15,2,1.0,192,3,470602,30,0.0,52.59
0.2,2,1.0,192,3,470602,30,0.0,47.47
0.25,2,1.0,192,3,470602,30,0.0,44.2
0.3,2,1.0,192,3,470602,30,0.0,44.68
0.35,2,1.0,192,3,470602,30,0.0,45.33
0.4,2,1.0,192,3,470602,30,0.0,44.68
0.45,2,1.0,192,3,470602,30,0.0,42.64
0.0,2,1.5,192,3,544522,30,0.0,71.63
0.05,2,1.5,192,3,544522,30,0.0,67.53
0.1,2,1.5,192,3,544522,30,0.0,57.2
0.15,2,1.5,192,3,544522,30,0.0,53.45
0.2,2,1.5,192,3,544522,30,0.0,45.16
0.25,2,1.5,192,3,544522,30,0.0,46.57
0.3,2,1.5,192,3,544522,30,0.0,44.5
0.35,2,1.5,192,3,544522,30,0.0,45.71
0.4,2,1.5,192,3,544522,30,0.0,44.89
0.45,2,1.5,192,3,544522,30,0.0,42.64
0.0,2,2.0,192,3,618442,30,0.0,71.31
0.05,2,2.0,192,3,618442,30,0.0,67.49
0.1,2,2.0,192,3,618442,30,0.0,59.52
0.15,2,2.0,192,3,618442,30,0.0,52.02
0.2,2,2.0,192,3,618442,30,0.0,47.06
0.25,2,2.0,192,3,618442,30,0.0,47.9
0.3,2,2.0,192,3,618442,30,0.0,46.84
0.35,2,2.0,192,3,618442,30,0.0,45.08
0.4,2,2.0,192,3,618442,30,0.0,46.41
0.45,2,2.0,192,3,618442,30,0.0,45.19
0.0,2,2.5,192,3,692362,30,0.0,71.38
0.05,2,2.5,192,3,692362,30,0.0,69.98
0.1,2,2.5,192,3,692362,30,0.0,59.71
0.15,2,2.5,192,3,692362,30,0.0,53.24
0.2,2,2.5,192,3,692362,30,0.0,48.67
0.25,2,2.5,192,3,692362,30,0.0,44.55
0.3,2,2.5,192,3,692362,30,0.0,44.74
0.35,2,2.5,192,3,692362,30,0.0,45.05
0.4,2,2.5,192,3,692362,30,0.0,45.06
0.45,2,2.5,192,3,692362,30,0.0,43.94
0.0,2,3.0,192,3,766282,30,0.0,68.81
0.05,2,3.0,192,3,766282,30,0.0,68.53
0.1,2,3.0,192,3,766282,30,0.0,59.97
0.15,2,3.0,192,3,766282,30,0.0,50.67
0.2,2,3.0,192,3,766282,30,0.0,47.6
0.25,2,3.0,192,3,766282,30,0.0,48.45
0.3,2,3.0,192,3,766282,30,0.0,47.76
0.35,2,3.0,192,3,766282,30,0.0,45.2
0.4,2,3.0,192,3,766282,30,0.0,43.84
0.45,2,3.0,192,3,766282,30,0.0,42.77
0.0,2,3.5,192,3,840202,30,0.0,73.87
0.05,2,3.5,192,3,840202,30,0.0,68.43
0.1,2,3.5,192,3,840202,30,0.0,59.92
0.15,2,3.5,192,3,840202,30,0.0,53.15
0.2,2,3.5,192,3,840202,30,0.0,51.04
